n	load_factor	entry_count	i_refs	i_misses	lli_misses	i_missrate	lli_missrate	d_refs	d_refs_rd	d_refs_wr	d_misses	d_misses_rd	d_misses_wr	lld_misses	lld_misses_rd	lld_misses_wr	d_missrate	d_missrate_rd	d_missrate_wr	lld_missrate	lld_missrate_rd	lld_missrate_wr	ll_refs	ll_refs_rd	ll_refs_wr	ll_misses	ll_misses_rd	ll_misses_wr	ll_missrate	ll_missrate_rd	ll_missrate_wr	initial_fill	rm	fill	rm	fill	
2	0.5	2	234178	1449	1364	0.62%	0.58%	81734	60058	21676	3380	2735	645	2659	2101	558	4.1%	4.6%	3.0%	3.3%	3.5%	2.6%	4829	4184	645	4023	3465	558	1.3%	1.2%	2.6%	0.002634	0.002024	0.000964	0.000107	0.000090	
2	0.95	3	234846	1452	1366	0.62%	0.58%	82018	60239	21779	3380	2735	645	2659	2101	558	4.1%	4.5%	3.0%	3.2%	3.5%	2.6%	4832	4187	645	4025	3467	558	1.3%	1.2%	2.6%	0.003160	0.002441	0.000907	0.000098	0.000110	
3	0.5	4	235553	1448	1364	0.61%	0.58%	82301	60417	21884	3380	2735	645	2659	2101	558	4.1%	4.5%	2.9%	3.2%	3.5%	2.5%	4828	4183	645	4023	3465	558	1.3%	1.2%	2.5%	0.002877	0.002705	0.001079	0.000063	0.000060	
3	0.95	7	237374	1451	1366	0.61%	0.58%	83091	60923	22168	3380	2735	645	2659	2101	558	4.1%	4.5%	2.9%	3.2%	3.4%	2.5%	4831	4186	645	4025	3467	558	1.3%	1.2%	2.5%	0.004273	0.002618	0.001377	0.000089	0.000090	
4	0.5	8	237469	1448	1364	0.61%	0.57%	83148	60953	22195	3383	2735	648	2662	2101	561	4.1%	4.5%	2.9%	3.2%	3.4%	2.5%	4831	4183	648	4026	3465	561	1.3%	1.2%	2.5%	0.002896	0.003036	0.000959	0.000065	0.000094	
4	0.95	15	241845	1451	1366	0.60%	0.56%	85016	62159	22857	3385	2735	650	2664	2101	563	4.0%	4.4%	2.8%	3.1%	3.4%	2.5%	4836	4186	650	4030	3467	563	1.2%	1.1%	2.5%	0.003142	0.002893	0.000891	0.000077	0.000059	
5	0.5	16	241978	1448	1364	0.60%	0.56%	85057	62167	22890	3387	2735	652	2666	2101	565	4.0%	4.4%	2.8%	3.1%	3.4%	2.5%	4835	4183	652	4030	3465	565	1.2%	1.1%	2.5%	0.002776	0.002227	0.000913	0.000061	0.000064	
5	0.95	30	250537	1451	1366	0.58%	0.55%	88744	64544	24200	3391	2735	656	2670	2101	569	3.8%	4.2%	2.7%	3.0%	3.3%	2.4%	4842	4186	656	4036	3467	569	1.2%	1.1%	2.4%	0.002936	0.002893	0.001126	0.000125	0.000093	
6	0.5	32	250462	1448	1364	0.58%	0.54%	88723	64472	24251	3396	2735	661	2675	2101	574	3.8%	4.2%	2.7%	3.0%	3.3%	2.4%	4844	4183	661	4039	3465	574	1.2%	1.1%	2.4%	0.002739	0.002881	0.000918	0.000111	0.000123	
6	0.95	60	266910	1451	1366	0.54%	0.51%	95862	69054	26808	3403	2735	668	2682	2101	581	3.5%	4.0%	2.5%	2.8%	3.0%	2.2%	4854	4186	668	4048	3467	581	1.1%	1.0%	2.2%	0.003955	0.003127	0.000915	0.000287	0.000107	
7	0.5	64	268064	1448	1364	0.54%	0.51%	96266	69238	27028	3415	2736	679	2693	2101	592	3.5%	4.0%	2.5%	2.8%	3.0%	2.2%	4863	4184	679	4057	3465	592	1.1%	1.0%	2.2%	0.002718	0.004202	0.001023	0.000123	0.000074	
7	0.95	121	301881	1451	1366	0.48%	0.45%	111010	78728	32282	3430	2736	694	2708	2101	607	3.1%	3.5%	2.1%	2.4%	2.7%	1.9%	4881	4187	694	4074	3467	607	1.0%	0.9%	1.9%	0.002890	0.003689	0.000936	0.000184	0.000122	
8	0.5	128	304876	1447	1363	0.47%	0.45%	113375	78642	34733	3451	2736	715	2729	2101	628	3.0%	3.5%	2.1%	2.4%	2.7%	1.8%	4898	4183	715	4092	3464	628	1.0%	0.9%	1.8%	0.003126	0.002449	0.001766	0.000145	0.000130	
8	0.95	243	373174	1453	1368	0.39%	0.37%	143101	97758	45343	3481	2737	744	2758	2101	657	2.4%	2.8%	1.6%	1.9%	2.1%	1.4%	4934	4190	744	4126	3469	657	0.8%	0.7%	1.4%	0.003283	0.003254	0.001340	0.000246	0.000285	
9	0.5	256	376200	1453	1367	0.39%	0.36%	145188	97495	47693	3531	2743	788	2801	2101	700	2.4%	2.8%	1.7%	1.9%	2.2%	1.5%	4984	4196	788	4168	3468	700	0.8%	0.7%	1.5%	0.003723	0.003229	0.001133	0.000236	0.000171	
9	0.95	486	514924	1457	1370	0.28%	0.27%	205692	136498	69194	3607	2759	848	2859	2101	758	1.8%	2.0%	1.2%	1.4%	1.5%	1.1%	5064	4216	848	4229	3471	758	0.6%	0.5%	1.1%	0.003651	0.002903	0.001867	0.001019	0.000353	
10	0.5	512	518527	1449	1365	0.28%	0.26%	208669	135100	73569	3752	2815	937	2945	2101	844	1.8%	2.1%	1.3%	1.4%	1.6%	1.1%	5201	4264	937	4310	3466	844	0.6%	0.5%	1.1%	0.002651	0.003188	0.001474	0.000402	0.000324	
